"pathway","description","log2FC","p_adj","sig","direction"
"PWY-5265","peptidoglycan biosynthesis II (staphylococci)",-2.25695360668928,0.00556744672829762,"**","GCtS_higher"
"PWY-5677","succinate fermentation to butanoate",-2.40672054206595,3.36226142927387e-06,"***","GCtS_higher"
"PWY-7347","sucrose biosynthesis III",-2.42711193989923,0.00682755866293943,"**","GCtS_higher"
"PWY0-1338","polymyxin resistance",-2.43719854927423,0.0123742184286709,"*","GCtS_higher"
"PWY-8190",NA,-2.45933288966786,0.00047936787400777,"***","GCtS_higher"
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",-2.48632865398507,0.00672617069876722,"**","GCtS_higher"
"PWY-6749","CMP-legionaminate biosynthesis I",-2.49856212781346,1.86206225505359e-05,"***","GCtS_higher"
"PWY-5101","L-isoleucine biosynthesis II",-2.57367290878622,0.00673816650577537,"**","GCtS_higher"
"PWY-7456","mannan degradation",-2.57803458543241,5.41144163479501e-06,"***","GCtS_higher"
"PWY-7674","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis",-2.70433631029399,0.0220890552620141,"*","GCtS_higher"
"KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis",-2.72436043072241,0.00275026733575237,"**","GCtS_higher"
"PWY-5104","L-isoleucine biosynthesis IV",-2.85846108887751,2.04624221566974e-06,"***","GCtS_higher"
"PWY-7084","nitrifier denitrification",-2.87776414140039,0.00914476409762775,"**","GCtS_higher"
"PWY-7031","protein N-glycosylation (bacterial)",-3.1074561591763,0.0278366188773921,"*","GCtS_higher"
"PWY-5645","4-chloronitrobenzene degradation",-3.16643793889502,0.026885238008661,"*","GCtS_higher"
"METHANOGENESIS-PWY","methanogenesis from H2 and CO2",-3.49163589918099,0.0018401668114846,"**","GCtS_higher"
"PWY-6565","superpathway of polyamine biosynthesis III",-4.32559856459798,0.00452428187917868,"**","GCtS_higher"
