"panel","fpr","tpr","threshold"
"Panel_B_generalised",0,0.354166666666667,0.991629829094418
"Panel_B_generalised",0,0.333333333333333,0.991780760223383
"Panel_B_generalised",0,0.3125,0.992025670352014
"Panel_B_generalised",0,0.291666666666667,0.993283121916843
"Panel_B_generalised",0,0.270833333333333,0.994485294117647
"Panel_B_generalised",0,0.25,0.994680700563053
"Panel_B_generalised",0,0.229166666666667,0.995925925925926
"Panel_B_generalised",0,0.208333333333333,0.997212732919255
"Panel_B_generalised",0,0.1875,0.998641304347826
"Panel_B_generalised",0,0,Inf
