"site1","site2","p_adj","family","sig"
"Ventral abdomen","Forehead",0.0240456508152349,"Dietziaceae","*"
"Ventral abdomen","Left front pastern",0.00815717395532211,"Dietziaceae","**"
"Ventral abdomen","Muzzle",0.00123217882251099,"Dietziaceae","**"
"Ventral abdomen","Neck",0.930987446559567,"Dietziaceae","ns"
"Ventral abdomen","Pectoral area",0.521198243874369,"Dietziaceae","ns"
"Ventral abdomen","Udder",0.461361875327721,"Dietziaceae","ns"
"Environment","Dorsum",0.907362378170609,"Eggerthellaceae","ns"
"Forehead","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Forehead","Environment",0.254926935343371,"Eggerthellaceae","ns"
"Left front pastern","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Left front pastern","Environment",0.254926935343371,"Eggerthellaceae","ns"
"Left front pastern","Forehead",0.146851550974772,"Eggerthellaceae","ns"
"Muzzle","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Muzzle","Environment",0.254926935343371,"Eggerthellaceae","ns"
"Muzzle","Forehead",0.654524207601132,"Eggerthellaceae","ns"
"Muzzle","Left front pastern",0.254926935343371,"Eggerthellaceae","ns"
"Neck","Dorsum",0.00127203283688788,"Eggerthellaceae","**"
"Neck","Environment",0.302043684213121,"Eggerthellaceae","ns"
"Neck","Forehead",0.652823692505077,"Eggerthellaceae","ns"
"Neck","Left front pastern",0.303655109716794,"Eggerthellaceae","ns"
"Neck","Muzzle",0.844449903845798,"Eggerthellaceae","ns"
"Pectoral area","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Pectoral area","Environment",0.254926935343371,"Eggerthellaceae","ns"
"Pectoral area","Forehead",0.930927507523667,"Eggerthellaceae","ns"
"Pectoral area","Left front pastern",0.479635404158775,"Eggerthellaceae","ns"
"Pectoral area","Muzzle",0.930927507523667,"Eggerthellaceae","ns"
"Pectoral area","Neck",0.930927507523667,"Eggerthellaceae","ns"
"Udder","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Udder","Environment",0.254926935343371,"Eggerthellaceae","ns"
"Udder","Forehead",0.00503597622877345,"Eggerthellaceae","**"
