"family","fpr","tpr","threshold"
"Hungateiclostridiaceae",0.166666666666667,0.604166666666667,0.0015613155672894
"Hungateiclostridiaceae",0.166666666666667,0.583333333333333,0.00148685229556846
"Hungateiclostridiaceae",0.166666666666667,0.5625,0.00141760457051571
"Hungateiclostridiaceae",0.166666666666667,0.541666666666667,0.00136708783903716
"Hungateiclostridiaceae",0.145833333333333,0.541666666666667,0.00134724834799838
"Hungateiclostridiaceae",0.145833333333333,0.520833333333333,0.00130648430117227
"Hungateiclostridiaceae",0.145833333333333,0.5,0.00126764587150497
"Hungateiclostridiaceae",0.145833333333333,0.479166666666667,0.00123655284302669
"Hungateiclostridiaceae",0.125,0.479166666666667,0.00121582064815825
"Hungateiclostridiaceae",0.104166666666667,0.479166666666667,0.00119799007146738
"Hungateiclostridiaceae",0.104166666666667,0.458333333333333,0.00114384087116641
"Hungateiclostridiaceae",0.104166666666667,0.4375,0.00106837908500281
"Hungateiclostridiaceae",0.104166666666667,0.416666666666667,0.00103367330419297
"Hungateiclostridiaceae",0.104166666666667,0.395833333333333,0.00099577235245429
"Hungateiclostridiaceae",0.104166666666667,0.375,0.000950276918422035
"Hungateiclostridiaceae",0.104166666666667,0.354166666666667,0.00092465699901734
"Hungateiclostridiaceae",0.104166666666667,0.333333333333333,0.000850898210143505
"Hungateiclostridiaceae",0.0833333333333334,0.333333333333333,0.000784874781325205
"Hungateiclostridiaceae",0.0833333333333334,0.3125,0.000659923571790375
"Hungateiclostridiaceae",0.0833333333333334,0.291666666666667,0.000337760154899655
"Hungateiclostridiaceae",0.0833333333333334,0.270833333333333,0.000126505268450045
"Hungateiclostridiaceae",0.0833333333333334,0.25,0.000102415266296178
"Hungateiclostridiaceae",0.0833333333333334,0.229166666666667,6.949887296259e-05
"Hungateiclostridiaceae",0.0833333333333334,0.208333333333333,2.80552126585119e-05
"Hungateiclostridiaceae",0,0,-Inf
"Christensenellaceae",1,1,Inf
"Christensenellaceae",0.979166666666667,1,0.0538217994003524
"Christensenellaceae",0.958333333333333,1,0.0452659936639637
"Christensenellaceae",0.9375,1,0.0389160541869034
"Christensenellaceae",0.916666666666667,1,0.0350099005577252
"Christensenellaceae",0.895833333333333,1,0.0323140782259742
"Christensenellaceae",0.875,1,0.0319286416363958
"Christensenellaceae",0.854166666666667,1,0.0316147184342847
"Christensenellaceae",0.833333333333333,1,0.0265161923813921
"Christensenellaceae",0.8125,1,0.0172537383855981
"Christensenellaceae",0.791666666666667,1,0.0120562635228313
"Christensenellaceae",0.770833333333333,1,0.0109683777767763
"Christensenellaceae",0.75,1,0.0103011008230403
"Christensenellaceae",0.729166666666667,1,0.00937377501697309
"Christensenellaceae",0.708333333333333,1,0.0088659166475833
"Christensenellaceae",0.6875,1,0.00864502764246131
"Christensenellaceae",0.666666666666667,1,0.00793157838737443
"Christensenellaceae",0.645833333333333,1,0.00726838906235638
"Christensenellaceae",0.625,1,0.00721312006790569
"Christensenellaceae",0.604166666666667,1,0.00699501873119211
"Christensenellaceae",0.583333333333333,1,0.00655424778699539
"Christensenellaceae",0.583333333333333,0.979166666666667,0.00616695742003328
"Christensenellaceae",0.5625,0.979166666666667,0.0060048653329556
"Christensenellaceae",0.541666666666667,0.979166666666667,0.00592149461040947
"Christensenellaceae",0.520833333333333,0.979166666666667,0.00582994483585656
"Christensenellaceae",0.520833333333333,0.958333333333333,0.00578648092343917
"Christensenellaceae",0.520833333333333,0.9375,0.00571332293218362
"Christensenellaceae",0.520833333333333,0.916666666666667,0.00559434196170899
"Christensenellaceae",0.5,0.916666666666667,0.00533591123211698
"Christensenellaceae",0.479166666666667,0.916666666666667,0.00508074677303362
"Christensenellaceae",0.458333333333333,0.916666666666667,0.0049775542249115
"Christensenellaceae",0.4375,0.916666666666667,0.00491449919808817
"Christensenellaceae",0.416666666666667,0.916666666666667,0.00486969731021446
"Christensenellaceae",0.395833333333333,0.916666666666667,0.00484771871865414
"Christensenellaceae",0.375,0.916666666666667,0.0047926027537558
"Christensenellaceae",0.375,0.895833333333333,0.00472933507814209
"Christensenellaceae",0.354166666666667,0.895833333333333,0.00470470676426496
"Christensenellaceae",0.333333333333333,0.895833333333333,0.004690867076198
"Christensenellaceae",0.333333333333333,0.875,0.00467033024947306
"Christensenellaceae",0.333333333333333,0.854166666666667,0.00457477549861593
"Christensenellaceae",0.333333333333333,0.833333333333333,0.00448433673720102
"Christensenellaceae",0.3125,0.833333333333333,0.00446658773960992
"Christensenellaceae",0.3125,0.8125,0.00444014071235854
"Christensenellaceae",0.291666666666667,0.8125,0.00434889961535327
"Christensenellaceae",0.291666666666667,0.791666666666667,0.00422729954318463
"Christensenellaceae",0.291666666666667,0.770833333333333,0.00386577990048811
"Christensenellaceae",0.270833333333333,0.770833333333333,0.00352688875901867
"Christensenellaceae",0.270833333333333,0.75,0.00349497607009479
"Christensenellaceae",0.270833333333333,0.729166666666667,0.00347143679206007
"Christensenellaceae",0.270833333333333,0.708333333333333,0.00342819245933406
"Christensenellaceae",0.270833333333333,0.6875,0.00333114997808665
"Christensenellaceae",0.270833333333333,0.666666666666667,0.00325175482765267
"Christensenellaceae",0.270833333333333,0.645833333333333,0.00323808852610062
"Christensenellaceae",0.25,0.645833333333333,0.00307815862389789
"Christensenellaceae",0.25,0.625,0.00290526620776803
"Christensenellaceae",0.25,0.604166666666667,0.00287920289839264
"Christensenellaceae",0.229166666666667,0.604166666666667,0.00286944075440756
"Christensenellaceae",0.208333333333333,0.604166666666667,0.00282294303938657
"Christensenellaceae",0.1875,0.604166666666667,0.00258516381973327
"Christensenellaceae",0.1875,0.583333333333333,0.0023829674028185
"Christensenellaceae",0.1875,0.5625,0.00232008012526463
"Christensenellaceae",0.166666666666667,0.5625,0.00219958541087749
"Christensenellaceae",0.166666666666667,0.541666666666667,0.00212672119636582
"Christensenellaceae",0.145833333333333,0.541666666666667,0.00209224070678559
"Christensenellaceae",0.125,0.541666666666667,0.00201945293510947
"Christensenellaceae",0.125,0.520833333333333,0.00196029492274411
"Christensenellaceae",0.125,0.5,0.00188333154036588
"Christensenellaceae",0.125,0.479166666666667,0.00163456970632718
"Christensenellaceae",0.125,0.458333333333333,0.00144348805412894
"Christensenellaceae",0.104166666666667,0.458333333333333,0.00136662164024769
"Christensenellaceae",0.104166666666667,0.4375,0.00127356766700433
"Christensenellaceae",0.104166666666667,0.416666666666667,0.00123634773935953
"Christensenellaceae",0.104166666666667,0.395833333333333,0.00118259989507327
"Christensenellaceae",0.0833333333333334,0.395833333333333,0.00107664247379148
"Christensenellaceae",0.0625,0.395833333333333,0.000925672194634135
"Christensenellaceae",0.0625,0.375,0.00079511528516089
"Christensenellaceae",0.0416666666666666,0.375,0.00053394753859069
"Christensenellaceae",0.0416666666666666,0.354166666666667,0.000265758242850905
"Christensenellaceae",0.0416666666666666,0.333333333333333,0.000166789763630255
"Christensenellaceae",0.0416666666666666,0.3125,0.000117275176944435
"Christensenellaceae",0.0416666666666666,0.291666666666667,0.000103136496570923
"Christensenellaceae",0.0416666666666666,0.270833333333333,4.70260712539031e-05
"Christensenellaceae",0,0,-Inf
"Micrococcaceae",1,1,-Inf
"Micrococcaceae",0.979166666666667,1,0.0066241644449982
"Micrococcaceae",0.958333333333333,1,0.00941727060925063
"Micrococcaceae",0.9375,1,0.0115788805750269
"Micrococcaceae",0.916666666666667,1,0.0119447104988464
"Micrococcaceae",0.895833333333333,1,0.0129612583965628
"Micrococcaceae",0.875,1,0.0141341889205818
"Micrococcaceae",0.854166666666667,1,0.0154458397517031
"Micrococcaceae",0.833333333333333,1,0.0172223219360357
"Micrococcaceae",0.8125,1,0.0181979413648243
"Micrococcaceae",0.8125,0.979166666666667,0.0186964408049463
"Micrococcaceae",0.791666666666667,0.979166666666667,0.0201438506679662
"Micrococcaceae",0.770833333333333,0.979166666666667,0.0221835792543852
"Micrococcaceae",0.75,0.979166666666667,0.0232746101686457
"Micrococcaceae",0.729166666666667,0.979166666666667,0.0236336665708008
"Micrococcaceae",0.708333333333333,0.979166666666667,0.0238776364741664
"Micrococcaceae",0.6875,0.979166666666667,0.0246053043158835
"Micrococcaceae",0.666666666666667,0.979166666666667,0.0253097223415423
"Micrococcaceae",0.645833333333333,0.979166666666667,0.0260722624884
"Micrococcaceae",0.625,0.979166666666667,0.0270980053180289
"Micrococcaceae",0.604166666666667,0.979166666666667,0.027670591166698
"Micrococcaceae",0.583333333333333,0.979166666666667,0.0281783814234264
"Micrococcaceae",0.583333333333333,0.958333333333333,0.0284504916271449
"Micrococcaceae",0.5625,0.958333333333333,0.0284716430148884
"Micrococcaceae",0.541666666666667,0.958333333333333,0.0284962921302407
"Micrococcaceae",0.520833333333333,0.958333333333333,0.0294942865812651
"Micrococcaceae",0.5,0.958333333333333,0.030617041894602
"Micrococcaceae",0.5,0.9375,0.0310886839415626
"Micrococcaceae",0.5,0.916666666666667,0.0314157192214068
"Micrococcaceae",0.5,0.895833333333333,0.0317358184321287
"Micrococcaceae",0.5,0.875,0.0325108394225113
"Micrococcaceae",0.479166666666667,0.875,0.0337363780860139
"Micrococcaceae",0.458333333333333,0.875,0.0345105316780865
"Micrococcaceae",0.4375,0.875,0.0346305514315213
"Micrococcaceae",0.416666666666667,0.875,0.0364173342434702
"Micrococcaceae",0.395833333333333,0.875,0.0387605412156137
"Micrococcaceae",0.375,0.875,0.0406545957181371
"Micrococcaceae",0.375,0.854166666666667,0.0419328402081965
"Micrococcaceae",0.354166666666667,0.854166666666667,0.0422819756011049
"Micrococcaceae",0.354166666666667,0.833333333333333,0.0428197548920344
"Micrococcaceae",0.354166666666667,0.8125,0.0431087693908664
"Micrococcaceae",0.333333333333333,0.8125,0.0433547766771388
"Micrococcaceae",0.333333333333333,0.791666666666667,0.043992816313725
"Micrococcaceae",0.333333333333333,0.770833333333333,0.0445519608432275
"Micrococcaceae",0.333333333333333,0.75,0.0449077968401999
"Micrococcaceae",0.3125,0.75,0.0453058919134392
"Micrococcaceae",0.291666666666667,0.75,0.0456184778824303
"Micrococcaceae",0.291666666666667,0.729166666666667,0.0460270891262463
"Micrococcaceae",0.270833333333333,0.729166666666667,0.0463882828037147
"Micrococcaceae",0.25,0.729166666666667,0.0466706503431921
"Micrococcaceae",0.25,0.708333333333333,0.0468934525572524
"Micrococcaceae",0.25,0.6875,0.0469358478097878
"Micrococcaceae",0.25,0.666666666666667,0.047261954533394
"Micrococcaceae",0.25,0.645833333333333,0.0476027453090103
"Micrococcaceae",0.229166666666667,0.645833333333333,0.0484926032871238
"Micrococcaceae",0.229166666666667,0.625,0.0495328497144329
"Micrococcaceae",0.208333333333333,0.625,0.0497231930448373
"Micrococcaceae",0.1875,0.625,0.0501974459559312
"Micrococcaceae",0.1875,0.604166666666667,0.0511363921206731
"Micrococcaceae",0.1875,0.583333333333333,0.0517486204545042
"Micrococcaceae",0.1875,0.5625,0.0519776180773678
"Micrococcaceae",0.1875,0.541666666666667,0.0521993455932491
"Micrococcaceae",0.166666666666667,0.541666666666667,0.0525298490029669
"Micrococcaceae",0.145833333333333,0.541666666666667,0.0528980886736346
"Micrococcaceae",0.145833333333333,0.520833333333333,0.0531722248056994
"Micrococcaceae",0.145833333333333,0.5,0.0533247720176103
"Micrococcaceae",0.145833333333333,0.479166666666667,0.0535544657682357
"Micrococcaceae",0.125,0.479166666666667,0.0543646877154228
"Micrococcaceae",0.125,0.458333333333333,0.0558528078251605
"Micrococcaceae",0.125,0.4375,0.0567961004106924
"Micrococcaceae",0.125,0.416666666666667,0.0573721246625888
"Micrococcaceae",0.125,0.395833333333333,0.0582749867191228
"Micrococcaceae",0.125,0.375,0.0586778654741657
"Micrococcaceae",0.125,0.354166666666667,0.0587113755018156
"Micrococcaceae",0.125,0.333333333333333,0.0596443958836817
"Micrococcaceae",0.125,0.3125,0.0606263265029346
"Micrococcaceae",0.104166666666667,0.3125,0.0608509350955797
"Micrococcaceae",0.104166666666667,0.291666666666667,0.0610557253973427
"Micrococcaceae",0.104166666666667,0.270833333333333,0.0611289164338627
"Micrococcaceae",0.104166666666667,0.25,0.0612084015739325
"Micrococcaceae",0.0833333333333334,0.25,0.0615388133604662
"Micrococcaceae",0.0833333333333334,0.229166666666667,0.0621075209241024
"Micrococcaceae",0.0833333333333334,0.208333333333333,0.0635486422757781
"Micrococcaceae",0.0625,0.208333333333333,0.0652761106366942
"Micrococcaceae",0.0625,0.1875,0.0663113161728995
