"sample_id","topology","[Eubacterium]_coprostanoligenes_group","Anaerovoracaceae","Anaplasmataceae","Arcobacteraceae","Beijerinckiaceae","Brevibacteriaceae","Caulobacteraceae","Christensenellaceae","Clostridiaceae","Corynebacteriaceae","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__","Deinococcaceae","Dermabacteraceae","Devosiaceae","Dietziaceae","Eggerthellaceae","F082","Gemmataceae","Hungateiclostridiaceae","Ilumatobacteraceae","IMCC26256","Intrasporangiaceae","JG30-KF-CM45","KD4-96","Lachnospiraceae","Methyloligellaceae","Microbacteriaceae","Micrococcaceae","Micromonosporaceae","Mycobacteriaceae","Nakamurellaceae","Nocardiaceae","Nocardioidaceae","Oscillospiraceae","Peptostreptococcaceae","Peptostreptococcales-Tissierellales","Pseudonocardiaceae","Rhizobiaceae","Rhodobacteraceae","Ruminococcaceae","Saccharimonadaceae","Sphingomonadaceae","Streptomycetaceae","UCG-010","uncultured","Xanthobacteraceae"
"4-4","Pectoral area",0.00143802128271498,0.00191736171028665,0,0.00134215319720065,0.00479340427571661,0.00440993193365929,0.00517687661777394,0.0032595149074873,0.0451538682772505,0.574537436487393,0.000766944684114658,0.153197200651903,0.00766944684114658,0.00345125107851596,0.0128463234589205,0.00105454894065766,0.000671076598600326,0,0.000958680855143323,0.00153388936822932,0,0.00910746812386157,0.00345125107851596,0,0.0102578851500336,0,0.00862812769628991,0.0446745278496788,0.00239670213785831,0.00124628511168632,0.000575208513085994,0.00527274470328828,0.00795705109768958,0.00843639152526124,0.00402645959160196,0.00162975745374365,0.00440993193365929,0.00939507238040456,0.0056562170453456,0.00431406384814495,0.00278017447991564,0.0276100086281277,0,0.00105454894065766,0,0
"4-5","Dorsum",0,0,0,0,0.00149543634082197,0,0.000584423397562611,0,0.000532856627189439,0.00837100572391151,0,0.957319903054472,0,0.000464100933358544,0,0,0,0,0,0.000137511387661791,0,0,0,0,0,0,0.00140949172353336,0.0183921480997645,0,0.000756312632139849,0.000103133540746343,0.000876635096343916,0.000807879402513021,0,0,0,0,0.00134073602970246,0,0,0,0.00495040995582447,0.00022345600495041,0,0,0.000464100933358544
"4-6","Ventral abdomen",0.00142691047457985,0.00199062819293239,0,5.28485360955502e-05,0.000933657471021386,0.000264242680477751,0.000739879505337702,0.0044216608533277,0.0448155586090265,0.756438713314308,0.00110981925800655,0.000246626501779234,0,0.00163830461896205,0.0161011873304443,0.00209632526512349,0,0,0.00817390691611176,0.000246626501779234,0,0.0223196984110207,0.00671176408413487,0,0.0135292252404608,0,0.00820913927350879,0.0180037346298841,0.000176161786985167,0.000281858859176267,0,0.000546101539654018,0.00782158334214142,0.00366416516929148,0.00186731494204277,0.025842934150724,0.000140929429588134,0.00188493112074129,0.00960081739069161,0.000687030969242152,0.0194306451044639,0.00232533558820421,0,8.80808934925836e-05,0.000317091216573301,0.000792728041433252
"4-7","Udder",0.00162779999292261,0.00116776956014013,0,0.0204890477370041,0.00219399129480873,0,0.00414027389504229,0.00488339997876783,0.0477370041402739,0.66739799709827,0.00130931738561166,0.0116069216886656,0,0.00276018259669486,0.016313386885594,0.00187550868749779,0.000176934781839414,0.000106160869103648,0.00934215648112106,0,0.000176934781839414,0.020524434693372,0.00470646519692841,0.000707739127357656,0.0105453129976291,0,0.0147209738490392,0.0239569694610567,0.0010262217346686,0,0.000424643476414594,0.00138009129834743,0.0147563608054071,0.00251247390211968,0.00233553912028026,0.0261863477122333,0.000495417389150359,0.00417566085141017,0.0112884390813546,0.00141547825471531,0.0269294737959588,0.0134470434197955,0,0.000283095650943062,0.000106160869103648,0.00290173042216639
"4-8","Left front pastern",0.000674340193000814,0.00179048947796768,0,0.000465062202069527,0.00437158469945355,0.000581327752586908,0.00509243111266132,0.00323218230438321,0.0591094058830369,0.538704801767236,0.0035344727357284,0.00258109522148587,0.000883618183932101,0.00316242297407278,0.0284850598767585,0.00286013254272759,0.000232531101034763,0.000674340193000814,0.00809208231600977,0.00239507034065806,0.00162771770724334,0.0166492268340891,0.00592954307638647,0.00346471340541797,0.0144866875944658,0.00102313684455296,0.0153470526682944,0.0646901523078712,0.00148819904662249,0.00220904545983025,0.0026508545517963,0.00125566794558772,0.0255086617835135,0.0025578421113824,0.00479014068131613,0.0352749680269736,0.000767352633414719,0.0065806301592838,0.0182769445413324,0.00151145215672596,0.0307406115567957,0.0193000813858854,0.00144169282641553,0,0.00367399139634926,0.0143006627136379
"5-1","Forehead",0.00118605924213856,0.00149017699653306,0,0,0.00799829694057539,0.00206800072988261,0.00650811994404233,0.00194635362812481,0.0954929748798735,0.479715345781887,0.000364941305273402,0.135362812480993,0.000699470835107354,0.00337570707377897,0.0107353567301259,0.00115564746669911,0,0,0.00261541268779271,0.00115564746669911,0.000212882428076151,0.00830241469496989,0.00322364819658172,0,0.0136852989477526,0,0.0151146523934067,0.0418770147801229,0.00367982482817347,0.00492670762119092,0.000547411957910103,0.00486588407031202,0.0098230034669424,0.00413600145976522,0.00532206070190378,0.00225047138251931,0.0287391277902804,0.00851529712304604,0.0200413600145977,0.00121647101757801,0.0105224743020498,0.036615777629098,0.00760294385986254,0,0,0.00246335381059546
"5-2","Muzzle",0.00248927810934829,0.00431874756320667,0,0,0.00239930420178148,0.0136460426476322,0.00242929550430375,0.00599826050445371,0.0615721440782173,0.340881144468104,0.000509852142878565,0.026242389706985,0.0196143118495636,0.00359895630267222,0.0185946075638065,0.00296913894970459,0.000269921722700417,8.99739075668056e-05,0.00215937378160334,0.000689799958012176,0,0.0193143988243409,0.00260924331943736,0,0.0325705545391836,0,0.00881744294154695,0.0304711633626248,0.0108868428155835,0.00170950424376931,0.000929730378190325,0.00146957382359116,0.00842755600875746,0.0113367123534175,0.00350898239510542,0.00509852142878565,0.207059952613742,0.00545841705905287,0.00704795609273311,0.00302912155474912,0.00509852142878565,0.0207239900428876,0.0910835857601296,0,0.000719791260534445,0.000569834747923102
"5-3","Neck",0.00338556019211086,0.00582631288874892,0,0.00196834894890166,0.0174002047082907,0.00598378080466105,0.00818833162743091,0.00566884497283678,0.0913313912290371,0.280922761987245,0,0.161877017557673,0,0.00401543185575939,0.010707818282025,0.00307062436028659,0,0.000236201873868199,0.00110227541138493,0.00102354145342886,0.000787339579560665,0.0123612313991024,0.00236201873868199,0.000236201873868199,0.0325171246358554,0.000708605621604598,0.0233052515549957,0.105424769703173,0.0101566805763326,0.00897567120699158,0.0014172112432092,0.00779466183765058,0.0192110857412802,0.00826706558538698,0.00511770726714432,0.00212581686481379,0.010629084324069,0.0158255255491694,0.0150381859696087,0.00496023935123219,0.00566884497283678,0.0504684670498386,0.0114951578615857,0,0.00110227541138493,0.00850326745925518
"5-4","Pectoral area",0.000563380281690141,0.00328638497652582,0,0,0.015962441314554,0.00140845070422535,0.0063849765258216,0.00122065727699531,0.0917370892018779,0.403004694835681,0,0.244037558685446,0,0.00150234741784038,0.00713615023474178,0.000563380281690141,0,0.000375586854460094,0.00103286384976526,0.000563380281690141,0,0.00769953051643192,0.00112676056338028,0.000751173708920188,0.00657276995305164,0,0.019906103286385,0.0586854460093897,0.00657276995305164,0.00253521126760563,0,0.00572769953051643,0.020093896713615,0,0.00676056338028169,0,0.0031924882629108,0.00910798122065728,0.00488262910798122,0.000657276995305164,0.00384976525821596,0.0353051643192488,0.00535211267605634,0,0.000657276995305164,0.00685446009389671
"5-5","Dorsum",0.000100824746425763,0,0,0,0.000463793833558509,0,0.000403298985703051,0,0.00542437135770604,0.00568651569841302,0,0.94380028634228,0,0.000262144340706983,0.000383134036417898,0,0,0,0,8.06597971406102e-05,0,0.000282309289992136,0.000120989695710915,0,0.000181484543566373,0,0.00179468048637858,0.0314169909862677,0,0.000746103123550644,0,0.000524288681413966,0.0011494021092537,0,0.000362969087132746,0,0,0.000927587667117017,0.000362969087132746,0,0,0.00248028876207376,0,0,0.00016131959428122,0
