#OTU ID	1_S01	10-1_S02	10-2_S03	10-3_S04	10-4_S05	10-5_S06	10-6_S07	10-7_S08	10-8_S09	11-1_S10	11-2_S11	11-3_S12	11-4_S13	11-5_S14	11-6_S15	11-7_S16	11-8_S17	12-1_S18	12-2_S19	12-3_S20	12-4_S21	12-5_S22	12-6_S23	12-7_S24	12-8_S25	13-1_S26	13-2_S27	13-3_S28	13-4_S29	13-5_S30	13-6_S31	13-7_S32	13-8_S33	2-1_S34	2-2_S35	2-3_S36	2-4_S37	2-5_S38	2-6_S39	2-7_S40	2-8_S41	3-1_S42	3-2_S43	3-3_S44	3-4_S45	3-5_S46	3-6_S47	3-7_S48	3-8_S49	4-1_S50	4-2_S51	4-3_S52	4-4_S53	4-5_S54	4-6_S55	4-7_S56	4-8_S57	5-1_S58	5-2_S59	5-3_S60	5-4_S61	5-5_S62	5-6_S63	5-7_S64	5-8_S65	6-1_S66	6-2_S67	6-3_S68	6-4_S69	6-5_S70	6-6_S71	6-7_S72	6-8_S73	7-1_S74	7-2_S75	7-3_S76	7-4_S77	7-5_S78	7-6_S79	7-7_S80	7-8_S81	8-1_S82	8-2_S83	8-3_S84	8-4_S85	8-5_S86	8-6_S87	8-7_S88	8-8_S89	9-1_S90	9-2_S91	9-3_S92	9-4_S93	9-5_S94	9-6_S95	9-7_S96	9-8_S97
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__	0	65	190	4	0	0	13	0	347	0	15	8	23	4	21	4	16	80	1018	2	17	0	181	0	69	77	254	0	0	0	24	0	24	77	107	6	32	0	4	39	16	157	118	16	65	0	0	0	59	74	98	34	1	0	170	117	151	58	100	9	9	0	17	0	0	51	40	46	8	2	66	0	29	72	37	0	13	0	0	3	0	98	147	31	4	0	11	0	405	80	150	26	65	7	155	27	200
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0	376	251	743	125	47	1357	70	757	0	0	160	64	7	290	137	28	238	1032	156	80	100	267	186	284	242	253	41	21	13	212	41	128	320	184	341	283	43	658	324	158	337	128	210	272	87	369	187	423	257	126	522	98	78	107	118	283	280	182	201	97	46	257	0	545	343	115	222	36	80	168	27	184	216	220	0	68	31	295	9	0	270	346	191	33	110	477	24	502	445	348	156	176	23	606	109	663
d__Bacteria;p__Firmicutes;c__Clostridia;__;__	0	0	29	0	18	0	2	19	42	0	0	0	0	0	54	19	0	3	0	0	0	0	377	193	16	3	0	0	0	0	11	0	0	37	0	5	0	0	197	61	0	2	0	12	29	0	76	93	87	4	0	0	2	0	0	3	0	0	9	2	0	0	8	0	4	2	5	0	13	0	0	0	17	0	0	0	0	0	46	8	0	0	26	2	0	0	61	0	28	26	0	4	4	0	0	17	3
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__uncultured	0	0	0	0	0	0	0	0	35	0	0	0	0	0	24	0	0	0	8	0	0	0	105	0	6	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	29	35	7	0	0	0	0	0	18	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10	0	0	0	19	0	37	0	16	0	0	0	0	0	13
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae	0	0	0	5	0	0	53	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	38	7	0	0	0	0	53	15	0	0	0	0	0	0	40	84	54	0	0	0	28	0	41	22	0	0	0	5	4	0	0	0	9	0	0	0	0	0	0	12	0	0	3	0	7	0	4	0	102	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordales;f__Limnochordaceae	0	34	7	0	0	0	37	0	32	0	0	14	5	0	11	0	0	19	3	9	5	9	14	12	0	12	0	0	0	0	17	0	0	10	0	10	8	0	0	5	0	19	5	35	10	0	0	3	0	8	0	3	0	0	3	0	21	12	4	7	3	6	0	2	0	11	0	22	0	0	6	0	0	0	12	0	6	0	0	0	0	13	10	5	0	0	0	2	28	22	9	0	11	0	14	0	2
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae	0	0	29	12	0	0	43	0	46	0	0	11	12	0	9	6	0	3	30	8	0	0	9	11	66	14	0	0	0	0	28	10	67	0	34	0	0	0	6	0	72	43	15	11	37	0	6	7	14	0	17	49	0	0	49	25	23	0	0	0	0	0	0	0	17	0	0	10	14	0	0	0	62	0	18	0	0	0	24	0	0	0	47	10	0	0	0	2	13	24	28	0	14	0	9	0	24
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0	640	377	809	156	90	954	118	1036	41	133	297	167	49	363	323	146	801	2479	197	164	84	592	211	355	529	606	16	48	36	342	18	140	488	686	528	389	80	521	495	243	761	549	194	499	88	385	170	463	498	421	608	90	82	466	416	660	497	294	296	212	89	361	25	223	584	183	475	67	93	324	33	262	473	172	17	284	68	478	18	0	592	615	239	106	103	591	49	797	579	475	256	405	80	923	235	823
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	4	53	73	12	4	0	127	8	109	0	61	0	19	0	421	25	0	57	41	6	16	0	2552	562	39	14	42	0	0	0	57	6	44	43	63	67	44	10	277	127	0	85	16	76	59	0	408	439	130	39	39	3	15	0	81	46	29	39	83	43	6	5	134	0	10	45	41	25	11	0	70	6	33	34	44	15	23	24	236	0	21	39	62	0	0	0	245	0	65	90	53	20	32	0	64	72	91
