#OTU ID	1_S01	10-1_S02	10-2_S03	10-3_S04	10-4_S05	10-5_S06	10-6_S07	10-7_S08	10-8_S09	11-1_S10	11-2_S11	11-3_S12	11-4_S13	11-5_S14	11-6_S15	11-7_S16	11-8_S17	12-1_S18	12-2_S19	12-3_S20	12-4_S21	12-5_S22	12-6_S23	12-7_S24	12-8_S25	13-1_S26	13-2_S27	13-3_S28	13-4_S29	13-5_S30	13-6_S31	13-7_S32	13-8_S33	2-1_S34	2-2_S35	2-3_S36	2-4_S37	2-5_S38	2-6_S39	2-7_S40	2-8_S41	3-1_S42	3-2_S43	3-3_S44	3-4_S45	3-5_S46	3-6_S47	3-7_S48	3-8_S49	4-1_S50	4-2_S51	4-3_S52	4-4_S53	4-5_S54	4-6_S55	4-7_S56	4-8_S57	5-1_S58	5-2_S59	5-3_S60	5-4_S61	5-5_S62	5-6_S63	5-7_S64	5-8_S65	6-1_S66	6-2_S67	6-3_S68	6-4_S69	6-5_S70	6-6_S71	6-7_S72	6-8_S73	7-1_S74	7-2_S75	7-3_S76	7-4_S77	7-5_S78	7-6_S79	7-7_S80	7-8_S81	8-1_S82	8-2_S83	8-3_S84	8-4_S85	8-5_S86	8-6_S87	8-7_S88	8-8_S89	9-1_S90	9-2_S91	9-3_S92	9-4_S93	9-5_S94	9-6_S95	9-7_S96	9-8_S97
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae	0	405	1002	41	24	0	38	16	3079	34	106	27	97	0	41	31	60	604	2336	14	29	3	1526	172	388	336	474	7	11	0	86	4	50	352	554	69	79	8	109	294	169	428	342	72	219	0	34	0	709	302	249	91	29	0	1103	761	1322	346	170	72	41	0	396	11	123	487	79	122	7	0	589	0	504	299	183	0	121	16	119	17	100	340	1267	6	0	0	59	0	3273	312	1199	194	260	0	1398	148	2370
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108	0	0	0	15	0	0	6	0	0	0	0	0	0	0	4	6	0	0	0	7	0	0	0	0	108	0	0	0	0	0	25	0	72	0	0	5	0	0	0	0	61	3	0	0	0	0	0	0	0	3	0	38	0	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	534	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae	0	26	0	68	0	0	102	0	0	0	0	13	0	0	0	0	0	13	0	21	4	0	0	0	0	0	0	0	0	0	0	0	7	31	0	37	14	0	1	15	0	13	0	0	23	0	23	0	0	0	0	41	0	0	0	0	0	11	5	25	0	0	0	0	0	28	0	21	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	8	21	0	0	15	0	5	0	0	22	0	0
d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae	0	3	0	52	6	7	58	0	10	0	0	0	0	4	3	6	0	12	8	4	0	0	0	4	20	0	0	0	0	0	5	0	0	17	3	20	3	3	18	14	0	8	0	0	4	0	0	6	0	0	0	11	0	0	0	6	9	5	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	5	4	0	0	0	4	0	0	5	7	0	0	10	12	0	0	14	7	3	7	4	18	0	9
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae	0	29	44	29	6	0	118	0	75	0	0	0	0	0	0	27	0	24	109	0	0	0	14	19	32	16	19	0	0	0	46	0	25	11	43	52	53	11	39	24	30	21	41	37	23	7	95	0	52	36	5	0	7	0	27	2	33	0	55	26	2	0	16	0	13	0	8	5	0	0	20	0	44	35	24	0	18	0	27	0	0	19	29	21	0	0	57	0	52	12	56	18	27	0	53	0	22
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae	0	35	13	32	0	0	4	8	53	0	0	18	0	0	30	0	0	23	0	14	0	0	22	32	0	0	38	0	0	0	26	2	9	59	6	64	120	10	36	0	0	7	8	0	0	0	35	0	0	39	7	41	0	0	0	5	0	43	8	24	26	0	16	0	0	37	3	60	10	0	5	0	10	48	11	0	13	0	40	0	0	21	8	15	0	6	16	0	26	37	8	0	14	15	0	0	11
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1;f__B12-WMSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae	0	100	88	167	0	12	280	0	32	0	0	43	24	0	62	17	21	92	0	30	0	30	26	74	89	67	17	0	0	24	99	0	40	76	35	195	57	0	168	65	77	122	55	92	56	22	169	46	0	50	0	110	25	0	10	29	64	121	363	129	70	0	60	0	0	115	0	108	22	0	26	0	35	157	0	16	36	0	154	0	0	47	4	74	14	12	35	0	10	119	0	39	44	0	89	0	18
d__Bacteria;p__Firmicutes;c__Limnochordia;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	9	0	8	0	3	0	0	0	0	6	12	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	0	5	0	0	0	22	0	15	0	0	0	13	0	0	17	67	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	37	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Adlerbacteria;f__Candidatus_Adlerbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae	0	10	0	46	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	32	0	0	0	0	0	14	0	16	0	0	56	0	0	0	6	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	55	7	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	8	1	0	3	0	2	12	0
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae	25	3162	827	14715	458	55032	116	133	35	1244	65	2209	691	34769	48	1028	24	10907	487	6802	1868	106842	29	540	26	6624	1088	1193	1943	109355	143	105	179	2258	622	4276	4093	72662	47	299	61	5863	1146	6781	5611	45148	81	560	12	4235	250	3502	1598	55694	14	328	111	4451	875	2056	2599	46804	380	75	0	7225	114	7364	959	77245	42	23	7	16305	847	391	2402	46242	1701	111	0	9929	941	1828	258	100524	186	68	23	3743	1442	2564	1905	47599	264	214	9
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66	0	0	0	2	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	24	0	8	0	0	0	6	0	0	0	19	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	42	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	55	39	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	12	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae	0	17	0	182	9	0	302	0	0	0	0	7	10	0	50	0	50	22	48	0	0	0	0	39	129	0	17	0	0	0	56	0	26	36	0	36	18	0	125	78	143	0	9	31	64	10	134	10	35	28	0	63	6	6	0	12	114	18	31	18	0	0	43	0	23	17	0	51	18	8	23	0	129	24	9	0	11	0	92	0	0	0	5	0	12	0	46	0	0	18	7	18	13	0	79	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Sedimentibacteraceae	0	28	34	0	5	0	4	16	330	0	0	7	0	0	0	0	0	0	69	0	0	0	117	21	36	0	0	0	7	0	0	0	10	4	13	0	0	0	0	46	12	0	0	0	0	0	0	0	65	0	4	10	0	0	34	52	138	0	12	0	0	0	0	4	15	5	8	0	0	0	12	0	0	0	19	0	0	0	0	4	20	11	170	0	0	0	0	0	273	0	58	35	8	0	31	0	348
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0	42	142	0	8	0	86	0	200	0	0	18	26	0	326	36	17	62	57	6	24	0	864	125	26	23	47	10	2	0	50	6	23	53	56	63	16	14	163	182	34	96	19	37	70	0	295	163	82	55	22	7	11	0	119	53	123	38	99	39	6	0	65	5	12	59	26	39	0	0	82	7	36	55	28	0	49	8	144	4	0	48	45	11	3	0	80	2	144	30	100	27	34	0	61	46	170
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae	15	154	188	112	0	0	328	31	624	0	40	38	35	10	55	50	19	133	674	5	3	0	143	72	142	105	219	0	0	12	40	0	15	142	117	81	69	6	197	132	71	149	120	96	115	13	56	46	676	71	143	78	36	27	93	78	136	111	120	51	16	13	224	0	964	104	103	38	16	19	114	14	121	119	111	13	60	37	86	0	0	99	267	34	0	30	75	18	419	170	192	51	109	9	341	27	672
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae	0	7	0	41	10	0	83	5	11	0	0	3	6	0	8	13	19	4	4	0	0	0	0	14	87	0	4	0	3	0	85	2	49	5	0	4	22	0	17	30	124	4	0	2	19	0	12	11	10	0	0	0	0	0	0	3	29	0	3	3	4	0	23	0	8	3	0	0	31	0	0	0	123	0	2	0	3	0	0	0	0	3	0	3	4	0	0	0	0	6	5	0	0	0	0	0	0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96	0	0	0	30	0	0	114	0	0	0	0	0	0	0	10	16	84	14	0	0	0	0	0	20	253	0	9	0	0	0	262	0	157	0	5	0	68	0	75	125	379	0	0	0	98	0	38	0	61	8	0	0	0	0	0	20	149	0	0	3	8	0	52	3	43	0	0	0	13	0	18	0	258	0	7	0	0	0	7	0	0	0	0	0	0	0	16	5	3	8	0	0	0	0	14	12	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	39	0	0	0	0	0	26	0	55	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	22	0	0	0	0	0	20	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0	2	0	0	0	51	0	0	50	0	0	0	3	68	0	0	0	0	3	0	0	192	56	0	9	0	0	0	0	16	0	3	0	0	0	0	0	486	16	2	0	0	0	3	0	55	0	0	0	0	7	0	2	36	0	0	0	0	0	0	0	112	0	0	0	0	2	0	0	44	0	0	0	0	0	0	0	84	4	0	0	0	0	0	0	51	2	0	20	0	0	0	0	130	0	0	43
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__RBG-16-55-12;o__RBG-16-55-12;f__RBG-16-55-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	3	0	0	0	0	6	0	0	14	8	0
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	0	0	0	13	0	5	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	8	12	0	0	0	12	0	13	0	11	0	0	0	43	0	0	15	8	8	3	0	290	69	22	8	0	0	0	0	0	0	5	19	10	0	0	0	53	23	0	0	8	20	14	0	66	0	30	17	0	15	0	0	38	11	10	27	0	11	0	0	0	4	0	30	0	7	0	0	0	0	0	15	8	0	0	3	29	0	0	14	20	0	0	0	19	0	26	11	9	8	0	0	15	0	18
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__uncultured	0	3	0	0	0	0	4	0	0	0	0	3	3	0	3	0	0	0	27	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	9	0	2	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	21	4	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae	0	0	7	0	0	0	10	0	21	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	11	0	0	0	0	0	12
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__SCGC_AB-179-E04;f__SCGC_AB-179-E04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordia;f__Limnochordia	0	0	4	24	3	0	22	0	5	0	0	0	0	0	3	0	0	6	0	0	0	0	0	6	37	11	0	0	0	0	0	0	0	13	0	15	0	0	0	6	45	0	0	0	6	0	0	3	7	14	0	10	0	5	4	2	2	0	2	0	12	0	8	0	0	5	0	22	13	0	0	0	36	7	0	3	0	0	10	0	0	0	0	13	0	0	8	0	5	18	5	0	4	0	0	2	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae	0	39	12	17	0	0	0	0	0	0	0	0	8	0	9	0	0	14	0	0	0	0	34	0	0	68	0	0	0	0	32	0	13	0	0	14	0	0	10	20	35	1	62	0	0	0	0	0	10	43	0	0	11	0	53	14	35	0	0	0	0	0	0	0	0	39	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	24	29	43	0	0	0	0	9	0	16	0	0	0	0	0	7
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	0	0	0	0	0	0	4	4	2	0	0	0	0	0	0	6	3	4	0	0	0	0	0	2	22	0	0	0	0	0	10	0	36	0	0	0	5	0	0	5	13	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	24	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	27	0	0	0	0	0	0	4	0	0	0	26	0	0	0	0	7	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	9
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae	0	11	4	6	3	0	18	0	7	0	4	0	5	0	61	9	0	0	4	0	3	0	297	76	2	3	0	0	0	4	0	0	4	0	27	11	9	0	34	26	5	11	0	0	0	0	38	123	17	13	0	0	0	0	0	0	0	5	8	0	0	0	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	7	0	2	0	71	0	7	10	17	9	0	0	4	26	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	0	6	42	0	0	0	17	11	60	0	0	0	5	0	64	5	5	19	21	0	0	0	224	33	0	0	0	0	0	0	13	0	0	19	34	33	4	0	55	28	0	46	12	28	9	0	101	30	35	16	3	0	3	0	45	18	23	10	21	7	5	0	30	0	12	29	0	8	0	0	17	0	0	19	26	0	0	5	55	4	0	6	39	0	0	0	72	0	76	30	34	0	14	0	38	8	23
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__T34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae	0	12	5	42	0	0	0	0	0	0	0	11	0	0	0	12	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	4	5	15	0	71	12	0	25	9	3	10	0	24	0	0	12	0	0	7	0	0	6	0	1	0	8	0	0	0	0	0	21	6	17	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	16	0	0	0	0	8	21	0	0	7	0	47	0	0
