"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY-6123",15527.0364344438,14450.3800850336,-0.103675056118622,1205,0.701737879835122,0.79442024132278,"ns","GCtS_higher"
"THISYNARA-PWY",12524.0669441642,14019.1279043639,0.162693480448818,1099,0.701737879835122,0.79442024132278,"ns","EtS_higher"
"PWY-6124",15703.5070539106,14659.3517948213,-0.0992654792421556,1202,0.718038120877585,0.811172772539531,"ns","GCtS_higher"
"P341-PWY",37.9914943256989,32.9076661598186,-0.207252745965915,1107,0.724524199171788,0.815089724068262,"ns","GCtS_higher"
"PWY-7238",14433.5535476256,13070.8792947262,-0.143070339419584,1201,0.723500345205909,0.815089724068262,"ns","GCtS_higher"
"COBALSYN-PWY",10408.4652483783,11493.7208753964,0.143088563224132,1104,0.728976556613689,0.818393639441564,"ns","EtS_higher"
"UDPNAGSYN-PWY",15848.622660316,14900.4636075716,-0.0890002481511978,1199,0.734466500988676,0.822846287414699,"ns","GCtS_higher"
"P164-PWY",4144.57771353841,4027.02488258752,-0.0415107280183811,1107,0.745482984971123,0.828318402128164,"ns","GCtS_higher"
"P181-PWY",2.57481232951163,4.4423731286433,0.786863291817377,1148.5,0.74184592996138,0.828318402128164,"ns","EtS_higher"
"PWY-6857",0.686158084932137,0.746552753497776,0.121703209398095,1176,0.7446519524618,0.828318402128164,"ns","EtS_higher"
"PWY-7851",15040.9204238798,16313.7459437759,0.117195235144964,1107,0.745486561915348,0.828318402128164,"ns","EtS_higher"
"PWY-5818",0.854374251626614,0.441656818324094,-0.951942383363303,1176,0.747368421052631,0.828704204041932,"ns","GCtS_higher"
"AEROBACTINSYN-PWY",165.988638052802,154.368906752417,-0.104702300478718,1196,0.75099870262029,0.829342998853086,"ns","GCtS_higher"
"PWY-6531",3125.66982894525,2790.4387373307,-0.163673418388157,1196,0.751016160072517,0.829342998853086,"ns","GCtS_higher"
"ANAGLYCOLYSIS-PWY",17311.649888882,16076.6584427604,-0.106775656104082,1195,0.756558454479633,0.833758296773473,"ns","GCtS_higher"
"PWY-6919",56.7157351981054,17.2915824645878,-1.71367914618314,1186,0.772956687654309,0.850094931432437,"ns","GCtS_higher"
"PWY-5695",19594.2981973078,20677.8187904769,0.0776501089881072,1114,0.784451062856754,0.860982873867169,"ns","EtS_higher"
"GLUCONEO-PWY",15361.4897992298,14821.2307042645,-0.051652890273414,1189,0.790063924825769,0.865384420701654,"ns","GCtS_higher"
"PWY-7228",17066.3255177348,16460.3127833735,-0.0521607203965928,1188,0.795687596393157,0.868022832428899,"ns","GCtS_higher"
"PWY-841",16856.6223623235,16194.2728092363,-0.0578317993766285,1188,0.795687596393157,0.868022832428899,"ns","GCtS_higher"
"PWY0-162",13852.3522477095,15016.407345575,0.116408712352333,1118,0.806966260979856,0.878551977679682,"ns","EtS_higher"
"ANAEROFRUCAT-PWY",14073.2773323376,14422.8008359685,0.0353930188243441,1119,0.812620696344928,0.879389130313149,"ns","EtS_higher"
"PWY-5067",75.5767003798093,20.7557086832821,-1.86443334078721,1129.5,0.811618714594628,0.879389130313149,"ns","GCtS_higher"
